drug1,drug2,score
[2052],[4865],0.8929869
[47625],[47784],0.90769666
[516],[614],0.9682404
[126],[307],0.98614585
[47485],[47900],0.68543804
[32118],[47830],0.52609533
[1985],[47655],0.98150766
[1230],[47578],0.87417334
[65],[276],0.5317896
[1634],[47736],0.6073605
[47555],[47733],0.8514183
[608],[47645],0.8394096
[47499],[47635],0.9205924
[1514],[47668],0.6670364
[231],[678],0.50610447
[1546],[1559],0.5658701
[47522],[47931],0.88530254
[452],[47475],0.9909995
[3361],[37818],0.74078774
[237],[4299],0.7611306
[399],[47682],0.9433142
[47579],[47679],0.62344265
[3174],[47560],0.5292224
[47701],[47829],0.58459663
[93],[2925],0.6676766
[47674],[47789],0.8956699
[19767],[47458],0.9976467
[14440],[42870],0.5288302
[2573],[47730],0.9467631
[406],[1366],0.96493185
[452],[47508],0.9876879
[565],[11153],0.5432166
[42723],[47491],0.9737761
[11316],[47527],0.88147455
[1699],[47676],0.6912078
[412],[5289],0.9902214
[16014],[47541],0.7360199
[14837],[47532],0.9595984
[47468],[47529],0.5888976
[4432],[47538],0.97809386
[135],[700],0.98527926
[3750],[5994],0.95561093
[47519],[47581],0.5396054
[1405],[47538],0.6044704
[33704],[47763],0.9905632
[47614],[47725],0.8990137
[920],[47837],0.6022501
[257],[47532],0.67837775
[47484],[47762],0.6974839
[47547],[47565],0.67841077
[2],[3338],0.6786888
[90],[773],0.5586711
[99],[164],0.8130829
[42],[47648],0.8938803
[15],[11153],0.96924406
[47700],[47733],0.68040025
[49],[47731],0.9704717
[9697],[47680],0.82941747
[30],[8498],0.9747373
[1701],[47628],0.8217605
[47698],[47820],0.9263288
[17],[7412],0.5191905
[47483],[47603],0.9895062
[170],[936],0.9585213
[502],[2576],0.9548637
[773],[4243],0.75001216
[5554],[15482],0.6472974
[322],[570],0.8701446
[831],[5994],0.9908203
[210],[398],0.96090525
[47714],[47791],0.86435866
[47518],[47674],0.84989554
[35328],[47773],0.62920505
[170],[5789],0.7719613
[47630],[47735],0.72385406
[36175],[47628],0.71626836
[47460],[47517],0.8916851
[59],[665],0.9927053
[29],[47526],0.8892995
[816],[47853],0.85776806
[3170],[5994],0.91979384
[116],[5994],0.57580036
[47605],[47917],0.91975236
[3947],[47808],0.97187316
[564],[47543],0.5612466
[59],[3170],0.7230236
[901],[933],0.5068584
[520],[3897],0.7099277
[29603],[47533],0.9936204
[405],[47476],0.5416677
[30528],[47545],0.85055274
[502],[796],0.634565
[1802],[47523],0.6442531
[874],[47533],0.99940306
[392],[770],0.6675524
[47485],[47533],0.8996255
[22313],[47454],0.6455898
[58],[47639],0.6594678
[6857],[47608],0.63265884
[47454],[47654],0.5276668
[47636],[47731],0.699916
[151],[901],0.9674563
[88],[2805],0.5400056
[47776],[47797],0.91672564
[9505],[47540],0.99377084
[367],[1346],0.65998644
[9590],[47688],0.69105715
[48],[60],0.9111893
[9697],[47482],0.9212683
[47722],[47883],0.9966349
[430],[47772],0.5976776
[1466],[47624],0.5753514
[47767],[47886],0.99273425
[149],[7797],0.5231912
[258],[9697],0.981156
[47553],[47826],0.6029552
[901],[47633],0.56004906
[1566],[47519],0.99756485
[46],[5554],0.8349146
[47709],[47756],0.990575
[4865],[19168],0.66743135
[1085],[1134],0.5590576
[359],[10039],0.68804705
[14440],[47673],0.59035534
[124],[9697],0.5710926
[47540],[47831],0.65490377
[63],[47880],0.69674104
[100],[516],0.5415518
[35328],[47806],0.6988919
[47717],[47722],0.98461014
[359],[724],0.87276065
[58],[47694],0.77171904
[11],[1577],0.92931134
[602],[47493],0.7024036
[2116],[47648],0.9922851
[411],[4299],0.87120706
[109],[9590],0.70326614
[451],[30005],0.7902124
