drug1,drug2,score
[4432],[47638],0.74686754
[47489],[47501],0.8996398
[70],[47458],0.92728746
[152],[276],0.6476715
[831],[47491],0.9980734
[611],[796],0.92127335
[47631],[47885],0.6565369
[936],[1073],0.9367328
[1982],[9697],0.8674471
[196],[405],0.93239045
[239],[47575],0.8812912
[47674],[47678],0.92390573
[69],[476],0.7646731
[47643],[47645],0.8879563
[4975],[47561],0.98147607
[225],[14837],0.975232
[19],[47475],0.9807085
[6566],[6904],0.776236
[1274],[47658],0.78586215
[47672],[47707],0.9603698
[133],[47880],0.792555
[47590],[47687],0.58449954
[1230],[1341],0.9452713
[645],[47598],0.910521
[1662],[5605],0.99530864
[379],[516],0.536558
[47553],[47826],0.5757483
[47584],[47646],0.9994076
[34],[40],0.9945864
[190],[5789],0.9851072
[988],[47629],0.85316837
[30],[6738],0.79729897
[773],[47472],0.75423235
[757],[37669],0.8802651
[789],[47533],0.7392632
[135],[2165],0.9211212
[135],[11884],0.987593
[47816],[47817],0.57362866
[461],[6738],0.6109959
[26],[47562],0.6642101
[47494],[47722],0.7334323
[11],[47486],0.59909546
[47673],[47788],0.72856206
[3360],[6890],0.95982337
[47744],[47787],0.9941308
[9697],[47545],0.8580232
[229],[282],0.98064697
[225],[47638],0.8946941
[275],[1802],0.9681945
[47509],[47730],0.9766918
[7278],[47731],0.9929976
[451],[30005],0.5568631
[5403],[47619],0.5689316
[520],[3897],0.9295347
[47463],[47529],0.55355215
[941],[47521],0.81788576
[816],[47853],0.81715584
[107],[37669],0.8301223
[58],[195],0.7206704
[1634],[7359],0.8154642
[172],[695],0.76274246
[118],[441],0.98179495
[265],[3029],0.9897468
[570],[47694],0.9857055
[11316],[47519],0.94332325
[47612],[47770],0.63668144
[145],[955],0.649722
[414],[2234],0.94754773
[47665],[47879],0.60325485
[167],[47478],0.52909714
[414],[33704],0.9666161
[901],[47494],0.89472574
[11316],[47527],0.8978248
[2078],[3258],0.5885687
[47511],[47527],0.99844724
[22400],[47727],0.9887297
[164],[9721],0.8107359
[47451],[47775],0.9350035
[27116],[47735],0.94388545
[47547],[47565],0.6592909
[684],[47729],0.8859906
[9511],[47583],0.93298906
[39],[18416],0.831519
[773],[17548],0.8421974
[467],[31322],0.9277977
[828],[47674],0.81421065
[47557],[47770],0.93437845
[404],[47530],0.7012006
[133],[11884],0.6271626
[41608],[47507],0.92203414
[489],[2571],0.89990914
[126],[307],0.9657966
[82],[47837],0.8976966
[3029],[47457],0.8064062
[172],[1366],0.9089814
[385],[47492],0.96402514
[516],[614],0.98724484
[170],[47551],0.76226103
[47556],[47823],0.96077067
[805],[47538],0.9371686
[13151],[47481],0.9852422
[1546],[47545],0.5069449
[35328],[47806],0.6460655
[47484],[47762],0.75180453
[2792],[5065],0.7690277
[37735],[47640],0.5485217
[2792],[47685],0.8476904
[47480],[47658],0.7742698
[47571],[47600],0.8600292
[359],[501],0.9307999
[47457],[47601],0.53501385
[557],[47478],0.80392635
[2315],[47691],0.98232925
[76],[11153],0.9858991
[3361],[47788],0.7648738
[322],[570],0.98993456
[47702],[47904],0.50207627
[47722],[47883],0.9893738
[645],[47601],0.9968483
[12],[19889],0.7866006
[47465],[47568],0.7090472
[411],[4299],0.7125802
[1155],[4496],0.5492711
[955],[5065],0.67521214
[1566],[47806],0.96516556
[489],[47649],0.9381413
[47509],[47673],0.72243
[75],[47455],0.75302416
[159],[411],0.66103166
[1176],[47457],0.9538287
[9099],[47553],0.60304797
[318],[47467],0.6611146
[116],[47631],0.724415
[47556],[47692],0.72442806
[773],[4865],0.6312184
[47584],[47629],0.90285033
[29245],[47570],0.5454733
[292],[1341],0.99904245
[47547],[47723],0.8951437
[126],[163],0.54837555
[47549],[47607],0.7954266
[248],[47705],0.96762127
