drug1,drug2,score
[5941],[47733],0.9707727
[1134],[6697],0.973121
[6263],[47457],0.9681125
[1155],[47487],0.9900241
[47455],[47635],0.9987467
[47796],[47817],0.57818425
[47767],[47886],0.91739506
[47470],[47730],0.7623182
[135],[161],0.9931172
[1985],[47655],0.99920946
[65],[276],0.82829386
[248],[47457],0.55760545
[664],[1286],0.95989704
[126],[47655],0.96766317
[401],[1095],0.9502659
[2700],[6904],0.61188644
[47472],[47648],0.9936679
[370],[1405],0.98628014
[177],[47657],0.7615193
[406],[1366],0.9747338
[47473],[47567],0.80401844
[44022],[47541],0.5854787
[210],[47653],0.8975929
[1085],[1134],0.99927264
[467],[8498],0.94194
[225],[773],0.9923998
[4865],[10942],0.9943638
[41],[467],0.59154737
[47528],[47770],0.91943526
[2315],[47691],0.84368074
[3986],[47726],0.7561125
[3169],[47495],0.99936604
[7278],[47731],0.9962052
[29603],[47533],0.999853
[47494],[47571],0.9949106
[2207],[14799],0.725671
[27116],[47735],0.99455565
[295],[322],0.9918893
[80],[1360],0.9992327
[408],[47474],0.9961939
[47537],[47583],0.64600974
[251],[425],0.9994178
[6566],[47629],0.99997896
[256],[47475],0.8125953
[773],[4243],0.55009586
[17432],[47519],0.7541333
[2571],[47628],0.99988925
[47492],[47633],0.99551517
[9697],[47482],0.92339575
[1862],[47721],0.9933771
[118],[441],0.86694574
[47468],[47482],0.99998796
[215],[47490],0.99823433
[42222],[47726],0.9239191
[831],[15860],0.8523113
[47485],[47628],0.9949186
[59],[665],0.9850857
[47478],[47727],0.6306989
[47466],[47578],0.6881593
[47497],[47500],0.9918994
[6],[47503],0.8760381
[47463],[47529],0.8828817
[6857],[47608],0.73308766
[90],[1340],0.89694494
[406],[10009],0.5448469
[406],[47472],0.8807132
[801],[2949],0.84462696
[47495],[47550],0.9943419
[47607],[47885],0.5839591
[172],[695],0.85836345
[237],[47763],0.9980543
[10],[557],0.78998554
[170],[47551],0.5059736
[6738],[17548],0.57328486
[67],[47457],0.6432249
[3691],[5554],0.96359205
[47699],[47753],0.9664146
[237],[47778],0.86918974
[170],[5789],0.99141234
[2230],[47465],0.8438423
[22381],[47728],0.966417
[11],[901],0.99903864
[29],[47526],0.6861658
[672],[47477],0.7450605
[775],[47544],0.74304664
[275],[936],0.6918953
[2805],[47726],0.997252
[47511],[47527],0.9967672
[831],[47665],0.94145393
[47639],[47831],0.51746005
[47455],[47648],0.99368805
[86],[8634],0.77993333
[5],[214],0.5790637
[773],[47472],0.5009048
[135],[47784],0.99858814
[210],[810],0.95492053
[5866],[47633],0.99979067
[258],[17548],0.9965909
[47542],[47836],0.8706643
[135],[1227],0.9873408
[326],[602],0.80762494
[47521],[47544],0.9991675
[59],[3170],0.99376065
[340],[47648],0.97867894
[26],[47562],0.82795787
[108],[544],0.8141016
[199],[238],0.5161111
[570],[47694],0.95767665
[203],[47492],0.94224745
[47664],[47825],0.9836471
[673],[3258],0.9990217
[9954],[47735],0.664062
[40792],[47476],0.9956079
[901],[3258],0.5250842
[137],[507],0.66105783
[237],[47490],0.9968997
[22400],[40795],0.6062424
[405],[47613],0.6577485
[399],[47682],0.9955923
[1],[49],0.99979323
[47499],[47635],0.9993693
[1176],[47457],0.99915016
[639],[47731],0.95721257
[1421],[47455],0.983603
[549],[2078],0.6364276
[125],[577],0.99817187
[47861],[47876],0.9801392
[799],[9660],0.92225605
[1085],[47499],0.99761826
[3],[379],0.7145619
[135],[700],0.9995196
[83],[95],0.97045827
[2165],[47842],0.93631446
[608],[770],0.8187012
[1315],[34844],0.98052096
[531],[5994],0.996807
[124],[9697],0.710772
[800],[2700],0.5869169
[47799],[47886],0.6817665
[47556],[47692],0.70632124
[1705],[5605],0.702788
[6432],[10039],0.7304843
[7],[12],0.8746501
[2052],[47682],0.9930754
[357],[664],0.6280072
[47460],[47935],0.50754243
[452],[1405],0.91122717
[639],[31322],0.9816314
[3360],[47757],0.9999292
[3750],[5994],0.9931196
[329],[7575],0.54739714
[225],[14837],0.8182234
[58],[47694],0.937999
[816],[47853],0.9073101
[16476],[47722],0.99244815
[109],[460],0.84746486
[1315],[47675],0.8309151
[75],[47655],0.9815778
[557],[47474],0.5799755
[22580],[47578],0.9793343
[231],[1701],0.99956274
[461],[47519],0.94397885
[116],[47809],0.97304773
[47479],[47577],0.9757521
[2234],[47472],0.9989246
[47490],[47770],0.9749893
[1412],[47667],0.8791207
[489],[2571],0.99844337
[64],[47786],0.9985296
[126],[911],0.9077819
[258],[404],0.9858341
[30],[8498],0.99320495
[171],[47474],0.9994254
[20],[47730],0.99934274
[5289],[47726],0.59847534
[616],[4258],0.9273624
[1566],[47569],0.7171477
[1514],[47591],0.9938212
[359],[10039],0.5697212
[79],[47657],0.7986703
[1824],[47682],0.98831064
[42870],[47493],0.7424275
[36],[189],0.8179837
[151],[47678],0.5835297
[492],[47540],0.99350154
[134],[47791],0.80823684
[340],[1653],0.9841308
[359],[501],0.85452604
[152],[37818],0.989399
[876],[47635],0.60622895
[107],[452],0.9131443
[14837],[47532],0.99973774
[1634],[47736],0.9963795
[19],[47475],0.9996281
[47475],[47551],0.9926131
[161],[360],0.8346256
[396],[47529],0.99973047
[1466],[47624],0.6666918
[14],[1190],0.98708177
[2479],[47635],0.95318997
[452],[1286],0.9993794
[9],[417],0.97385925
[4432],[47538],0.99363744
[414],[33704],0.9404605
[265],[3029],0.9997762
[2],[272],0.98597735
[1634],[7359],0.9924009
[229],[282],0.89486885
[47458],[47833],0.8815122
[4644],[40795],0.949522
[354],[47533],0.67642915
[177],[724],0.975131
[816],[42624],0.9894374
[90],[47897],0.8954652
[461],[11389],0.98204273
[645],[47601],0.9716837
[47584],[47646],0.9999361
[245],[7144],0.5602042
[54],[10410],0.6092677
[55],[9721],0.9458249
[147],[1412],0.9985808
[420],[704],0.959234
[302],[534],0.91814196
[47722],[47883],0.86270094
[32051],[47733],0.9987674
[5114],[8213],0.8879173
[78],[229],0.99097455
[6949],[47467],0.9645489
[172],[1366],0.99860734
[47508],[47636],0.8283956
[47696],[47735],0.7327264
[12],[5390],0.9972125
[1155],[31322],0.99996036
[136],[804],0.7459991
[687],[47658],0.60024345
[47710],[47886],0.9070657
[452],[47508],0.9949829
[565],[11153],0.6550015
[10039],[10942],0.91824466
[31168],[47734],0.8181089
[47480],[47625],0.5958979
[20011],[42624],0.9970081
[237],[4299],0.5923112
[239],[47575],0.96799886
[2052],[4258],0.9856167
[497],[47497],0.995807
[171],[47682],0.9611169
[11],[5492],0.50142634
[531],[2009],0.8000942
[489],[47649],0.7726497
[1982],[9697],0.7369329
[47487],[47509],0.9822038
[47524],[47735],0.999405
[47709],[47756],0.9959857
[37],[126],0.99994475
[628],[47628],0.9917778
