drug1,drug2,score
[38916],[106498],0.56793994
[22424],[74866],0.9351452
[9810],[16140],0.9693707
[20286],[104920],0.940649
[25148],[33227],0.69129163
[63888],[14296],0.7806668
[27183],[4724],0.8317627
[19742],[103027],0.9278124
[26353],[67604],0.98382306
[18381],[42396],0.59692746
[22756],[14216],0.9696607
[97663],[14472],0.8952302
[98567],[3587],0.9639035
[10670],[13522],0.9934967
[41599],[39886],0.91497684
[67604],[98407],0.89497614
[29379],[21249],0.8524195
[20431],[68102],0.8096214
[22798],[14885],0.7278562
[3877],[15413],0.6692413
[10391],[34251],0.8700797
[13499],[4391],0.96118337
[74540],[25994],0.9783371
[8186],[9810],0.8396855
[15485],[18617],0.5035941
[28709],[30933],0.91669303
[33148],[19294],0.9385779
[5214],[35852],0.88326794
[22585],[103898],0.6454296
[26246],[25926],0.8187537
[10315],[13584],0.9865964
[42732],[8676],0.9810054
[5148],[2768],0.98277354
[14472],[4553],0.7458543
[59376],[10351],0.9675483
[15432],[18031],0.97374886
[41128],[6321],0.76449126
[9702],[106431],0.83997583
[27919],[97031],0.9989934
[104481],[19500],0.98912066
[91776],[3587],0.62668014
[12679],[4067],0.9562288
[94699],[39527],0.57448536
[9012],[25431],0.99350226
[59022],[12960],0.8289446
[1267],[16743],0.97460127
[1572],[78449],0.7993969
[30730],[94592],0.9475531
[54263],[10915],0.67136675
[6619],[105102],0.9346785
[30243],[17227],0.71941334
[17319],[50570],0.8170297
[18074],[91546],0.9315912
[21743],[4879],0.97500265
[17887],[3877],0.8289397
[14637],[39637],0.7236461
[25994],[24115],0.7041084
[23503],[18559],0.863548
[10315],[44030],0.7593342
[39527],[21843],0.95816153
[18522],[79625],0.9584835
[33336],[8115],0.9781831
[14100],[13724],0.77026296
[97492],[39417],0.6090622
[97053],[19437],0.96002614
[4423],[51422],0.80194736
[67143],[52862],0.5666509
[41232],[18826],0.7486102
[7721],[97120],0.69329137
[80364],[17116],0.69859844
[17489],[21903],0.90653455
[4391],[96848],0.8564087
[87387],[48375],0.86668205
[13873],[17887],0.94891566
[11466],[20755],0.6714974
[12679],[69999],0.6419911
[38423],[15049],0.5290388
[7544],[95891],0.75585306
[11546],[28863],0.9475465
[14692],[14675],0.97756594
[28510],[52040],0.97949976
[13337],[8533],0.7125673
[15103],[3217],0.8376858
[13943],[56045],0.9785768
[11962],[12499],0.9113087
[41128],[12442],0.9374448
[65982],[37428],0.8558596
[9868],[103614],0.80262494
[13030],[35472],0.9162363
[11415],[44358],0.69403636
[39362],[18601],0.78924286
[21324],[26370],0.62853765
[4391],[39382],0.70913714
[57512],[27299],0.9916785
[37791],[45351],0.9865894
[105409],[21075],0.57318556
[11466],[81838],0.7595605
[102151],[39886],0.9992143
[12679],[93819],0.9909071
[14675],[18074],0.5890034
[9602],[37428],0.6514896
[38931],[67604],0.5530789
[1186],[20286],0.8787799
[20755],[21903],0.7502413
[8720],[6732],0.52174246
[95488],[10822],0.9512109
[6002],[20431],0.9413764
[17340],[38520],0.9552166
[41111],[4553],0.52805775
[14343],[741],0.7992509
[12460],[21843],0.9826902
[19791],[39653],0.6377994
[39984],[36470],0.9352727
[3587],[42599],0.6939679
[14446],[7925],0.7956853
[11394],[17040],0.89360607
[39819],[99482],0.9316472
[5848],[60225],0.9710025
[51740],[25379],0.80862707
[50252],[36440],0.928219
[11394],[30341],0.8519382
[13753],[4789],0.95331544
[44757],[25348],0.7767056
[4087],[25926],0.6596833
[75378],[10897],0.7100288
[12619],[5662],0.7266751
[2369],[38157],0.5982757
[25536],[24763],0.89352494
[72991],[17143],0.66057295
[9346],[21249],0.99714696
[97053],[22424],0.66702485
[17319],[39793],0.85850304
[103027],[8863],0.7481695
[5214],[70992],0.541116
[11306],[9702],0.97279453
[4879],[95192],0.8113393
[19670],[25148],0.7717381
[25431],[105573],0.6492839
[80034],[11715],0.99867433
[81878],[15413],0.9982872
[3139],[20342],0.53226215
[15196],[70207],0.9272418
[20713],[8797],0.73338425
[8323],[53858],0.9908841
[44358],[20989],0.72026914
[13435],[13522],0.77710474
[23875],[14958],0.9957164
[15175],[98021],0.8382468
[16620],[5324],0.98175675
[39653],[54154],0.93618476
[5662],[14692],0.8908311
[2414],[7680],0.67156136
[103487],[38171],0.89659536
[59376],[20402],0.9890213
[6553],[11941],0.9516133
[18074],[39841],0.8451971
[25681],[14422],0.9968797
[9830],[6576],0.99133146
[23276],[7038],0.9850774
[38931],[6619],0.95950514
[8846],[97155],0.95582056
[52432],[5507],0.99785566
[2708],[85571],0.9774894
[103282],[11075],0.8465349
[37454],[68894],0.88061124
[46908],[4423],0.8279286
[95488],[10250],0.85487914
[43504],[9536],0.9658395
[18074],[14618],0.998721
[28841],[28626],0.83217955
[27677],[54234],0.5976491
[66120],[16896],0.69304156
[106056],[11715],0.74109477
[11002],[12679],0.8718241
[11902],[17340],0.80113494
[3515],[40164],0.94696325
[16170],[37513],0.99576646
[23348],[4553],0.94073963
[21214],[17796],0.77183336
[19742],[11394],0.7657606
[33148],[34944],0.7409866
[68740],[59726],0.9380745
[36556],[19500],0.7657283
[57389],[44014],0.75893027
[14040],[53486],0.96848994
[17988],[24840],0.99358934
[28358],[18381],0.6662995
[69206],[32336],0.73484445
[96569],[38016],0.7794431
[4553],[52916],0.97034353
[32252],[35695],0.636315
[26353],[96871],0.9765502
[967],[41369],0.8972116
[21265],[5254],0.962968
[12889],[37868],0.853428
[67143],[8186],0.9923227
[13923],[8720],0.8109955
[38794],[48480],0.75776124
[36910],[10731],0.5682563
[6645],[36623],0.9992456
[15770],[36623],0.93295956
[27521],[68102],0.7458503
[6002],[54154],0.869831
[39141],[40914],0.79367864
[56460],[3497],0.57077736
[20595],[70207],0.7875384
[51740],[14216],0.9544399
[68894],[41369],0.75497997
[5848],[38204],0.7724699
[12771],[9653],0.94114166
[81838],[40183],0.62182575
[38271],[39984],0.9160701
[20535],[44030],0.866736
[25431],[50390],0.66288674
[3139],[38171],0.95491666
[70992],[21094],0.9533695
[38310],[5254],0.9242162
[1751],[101979],0.6804974
[104342],[5254],0.79027694
[15137],[13602],0.7935544
[12499],[30933],0.7403855
[15747],[11151],0.8999351
[96551],[16928],0.8565912
[7925],[102151],0.7597294
[32351],[28240],0.69678205
[79625],[102346],0.759952
[20286],[87472],0.9222761
[103282],[104481],0.68292385
[56460],[13522],0.70057034
[85552],[50252],0.751026
[14842],[25393],0.98787254
[10479],[5462],0.53516686
[11754],[62805],0.975986
[96646],[26353],0.5880346
[14978],[101899],0.55720043
[20286],[86600],0.87761647
[11546],[38271],0.944713
[15137],[11735],0.90895534
[15214],[13030],0.7471009
[16620],[47004],0.7197461
[59376],[68160],0.81319547
[72487],[8592],0.9852246
[78962],[96551],0.61963934
[71969],[16928],0.9825701
[47004],[39362],0.78628606
[26745],[15214],0.8285512
[80034],[13908],0.6264403
[72487],[4908],0.7651574
[106365],[22424],0.85342526
[4582],[16896],0.7664402
[101899],[21342],0.52186674
[12406],[13989],0.58425456
[18329],[105039],0.9696812
[22159],[12565],0.8791485
[68515],[96487],0.888078
[14100],[99678],0.97725064
[17761],[34251],0.6951946
[7038],[28358],0.8704407
[35525],[5886],0.83350587
[85552],[5015],0.7099493
[98841],[19000],0.9793721
[10250],[104557],0.5886465
[6941],[24783],0.560428
[100584],[21493],0.55549926
[106212],[50570],0.55215883
[35472],[15120],0.94890904
[52432],[19583],0.61481464
[51514],[7134],0.82429594
[14117],[14560],0.5525882
[59501],[9743],0.5668457
[103614],[43960],0.9871586
[43517],[14011],0.8979463
[103141],[20847],0.9694417
[13813],[26479],0.99680537
[74540],[5792],0.63309395
[80930],[19437],0.65947115
[44824],[39793],0.6437435
[9576],[75071],0.9613445
[13724],[59639],0.55403024
[37939],[20402],0.6996854
[14235],[36470],0.81004584
[8592],[16896],0.9668164
[17525],[39555],0.793063
[25536],[27403],0.96239805
[5015],[9346],0.64892447
[15932],[23033],0.8697343
[98407],[12052],0.9999114
[20713],[13753],0.9375738
[24386],[8533],0.9045043
[19611],[10122],0.7719164
[68894],[8392],0.96060604
[12889],[7906],0.94453883
[9786],[96262],0.9447178
[7962],[17575],0.6749123
[71654],[17282],0.9499669
[26898],[13417],0.8236569
[43023],[68281],0.73116165
[11322],[67604],0.6709217
[19068],[38916],0.51360047
[11228],[13222],0.6743123
[86600],[38763],0.6279018
[36556],[25348],0.69358283
[97031],[11715],0.52845806
[37253],[17380],0.5461506
[14805],[17143],0.9482761
[100534],[45753],0.9820187
[27337],[19437],0.715352
[12679],[27299],0.99982154
[14577],[42056],0.80111796
[19871],[101785],0.5300418
[15485],[10036],0.82209605
[8551],[3807],0.953365
[59358],[11715],0.7011578
[73838],[53824],0.6416921
[5324],[39091],0.7313906
[7721],[28156],0.52919835
[9702],[15770],0.993054
[36782],[105956],0.7048014
[20563],[92113],0.97096604
[10915],[56109],0.6111111
[85619],[17575],0.9548104
[9012],[58181],0.8650368
[97168],[9012],0.6195948
[12052],[100893],0.9793758
[11394],[19670],0.6439209
[78948],[7491],0.882718
[11415],[32252],0.76026773
[70992],[8323],0.76076406
[37563],[36470],0.60943335
[21760],[6304],0.5461613
[13499],[10710],0.86898524
[27677],[38442],0.7905561
[6487],[2414],0.9889502
[19871],[14317],0.78427494
[11228],[50570],0.8928902
[6437],[7113],0.9358523
[42302],[2505],0.89622784
[10692],[15747],0.9736379
[21075],[35633],0.8445641
[29379],[20834],0.7542254
[1416],[19500],0.96022856
[19294],[22562],0.73836195
[11564],[6732],0.6746889
[106296],[3611],0.7381492
[1267],[34978],0.7641904
[12424],[78985],0.97659546
[5065],[11394],0.9010071
[12368],[13724],0.68727297
[4747],[13873],0.9843297
[27677],[33961],0.836397
[25536],[11039],0.8697303
[17415],[93579],0.6680188
[38613],[15770],0.8251883
[27521],[73838],0.529026
[75378],[20614],0.8432153
[26479],[14317],0.98757505
[18051],[100439],0.68261623
[18267],[67143],0.99990124
[9868],[102200],0.60435826
[6383],[68281],0.99882966
[106388],[31172],0.8107894
[1715],[59639],0.854254
[20431],[94896],0.7033595
[31096],[17761],0.98611903
[14343],[43960],0.68135756
[14498],[15650],0.5337429
[24075],[55396],0.95931315
[56109],[24207],0.55791664
[8754],[16928],0.9520354
[59747],[2369],0.90428275
[10915],[38125],0.91413665
[8676],[9380],0.64682573
[82954],[97901],0.74288577
[52432],[13567],0.7875624
[28358],[8098],0.7880648
[16027],[25926],0.5237379
[8372],[14747],0.77462786
[7383],[5254],0.9992872
[5662],[100993],0.7651858
[38016],[6732],0.8574793
[5381],[43504],0.83939457
[7925],[30471],0.99844766
[6487],[68553],0.9963518
[91694],[41128],0.9311289
[11466],[13622],0.8301375
[17227],[96824],0.96063924
[82392],[79685],0.9460059
[106388],[27971],0.59378016
[69783],[18092],0.7192247
[11819],[45237],0.58945113
[13989],[42056],0.8962204
[11377],[37823],0.72908103
[10982],[21265],0.9653007
[3275],[47801],0.96578896
[5148],[99292],0.98075897
[10951],[13773],0.5988748
[13602],[100400],0.99716854
[25583],[14178],0.981799
[30730],[41398],0.96871394
[8846],[7925],0.9999901
[13522],[25779],0.87810165
[99640],[13642],0.9770361
[40128],[41204],0.8307811
[12771],[106388],0.60796946
[97619],[4772],0.8407482
[97785],[38763],0.8179406
[24840],[8533],0.67699116
[18007],[7702],0.816634
[39637],[102466],0.98096466
[25348],[11322],0.9754644
[98766],[101171],0.5800305
[15085],[94117],0.6300835
[5192],[32800],0.7909893
[12815],[36782],0.88005203
[105102],[17116],0.97707194
[21823],[27789],0.8213589
[9914],[4201],0.96893793
[27677],[18092],0.93311095
[10095],[41315],0.7527723
[91735],[10549],0.91990614
[35227],[18267],0.72646886
[2768],[43960],0.8187549
[6553],[15913],0.56119144
[100893],[25536],0.96453977
[36782],[14253],0.7328366
[39091],[98796],0.8148742
[96613],[5148],0.722284
[6073],[10915],0.74145913
[39984],[81878],0.9975789
[81653],[25926],0.5853417
[14422],[8115],0.93824023
[32336],[14747],0.76727724
[17588],[67604],0.7225566
[17166],[101994],0.9772977
[105956],[14842],0.7481049
[93657],[11887],0.9549208
[82954],[58230],0.574562
[6702],[55639],0.9605182
[71654],[44358],0.72674257
[4201],[59189],0.7624288
[14296],[8921],0.97359276
[39290],[21493],0.9368647
[37113],[4879],0.94009715
[9312],[98407],0.6316144
[14040],[16896],0.5340116
[760],[13670],0.6837954
[70992],[32236],0.6411567
[10549],[39313],0.5265983
[106431],[39886],0.61530226
[7821],[17098],0.97592217
[15539],[12116],0.8343651
[38171],[13567],0.6357676
[104937],[14422],0.56369895
[70207],[59893],0.7745254
[14385],[36556],0.93411696
[14385],[8611],0.99755377
[103027],[5192],0.9621136
[19000],[9953],0.94935447
[100243],[6383],0.86752146
[21493],[55639],0.7686397
[21903],[102733],0.68617684
[22585],[18869],0.644078
[97920],[28709],0.9761312
[43504],[67604],0.7405107
[106296],[25994],0.54580593
[22585],[20940],0.95621073
[38171],[71138],0.95555717
[36127],[7038],0.7182279
[41369],[74540],0.7767676
[68553],[12348],0.5036197
[10570],[14117],0.65952235
[12032],[24207],0.7510211
[70992],[741],0.61717576
[15270],[49892],0.6091628
[32301],[8533],0.9538388
[20713],[16367],0.9056124
[24783],[12442],0.7427703
[5792],[13195],0.89430314
[59726],[44133],0.5258279
[45237],[12478],0.68857074
[43517],[16690],0.90374887
[9653],[15064],0.84403455
[60225],[78962],0.94421244
[15064],[91562],0.7839864
[7721],[22774],0.95738024
[19561],[17166],0.64648056
[11735],[34978],0.85503966
[69751],[38663],0.7174891
[41157],[11686],0.6546419
[66120],[12460],0.8887973
[21094],[43826],0.95729816
